;Equipos;Puntos;fixture;season
745;Huachipato;6;8;2021
746;Santiago Wanderers;1;8;2021
747;A. Italiano;19;9;2021
748;O'Higgins;16;9;2021
749;D. La Serena;15;9;2021
750;U. Catolica;15;9;2021
751;Union La Calera;14;9;2021
752;Union Espanola;14;9;2021
753;Nublense;13;9;2021
754;Colo Colo;13;9;2021
755;Everton de Vina;12;9;2021
756;Universidad de Chile;11;9;2021
757;Antofagasta;11;9;2021
758;D. Melipilla;11;9;2021
759;Cobresal;11;9;2021
760;Palestino;10;9;2021
761;Curico Unido;6;9;2021
762;Huachipato;6;9;2021
763;Santiago Wanderers;1;9;2021
764;A. Italiano;19;10;2021
765;U. Catolica;18;10;2021
766;Union La Calera;17;10;2021
767;O'Higgins;16;10;2021
768;Colo Colo;16;10;2021
769;Nublense;16;10;2021
770;Union Espanola;15;10;2021
771;D. La Serena;15;10;2021
772;D. Melipilla;14;10;2021
773;Everton de Vina;13;10;2021
774;Universidad de Chile;12;10;2021
775;Antofagasta;12;10;2021
776;Palestino;11;10;2021
777;Cobresal;11;10;2021
778;Huachipato;7;10;2021
779;Curico Unido;6;10;2021
780;Santiago Wanderers;1;10;2021
781;A. Italiano;20;11;2021
782;Union La Calera;20;11;2021
783;U. Catolica;19;11;2021
784;D. La Serena;18;11;2021
785;Nublense;17;11;2021
786;Colo Colo;17;11;2021
787;O'Higgins;17;11;2021
788;Union Espanola;15;11;2021
789;Universidad de Chile;15;11;2021
790;Antofagasta;15;11;2021
791;Everton de Vina;14;11;2021
792;D. Melipilla;14;11;2021
793;Cobresal;12;11;2021
794;Palestino;11;11;2021
795;Huachipato;8;11;2021
796;Curico Unido;6;11;2021
797;Santiago Wanderers;1;11;2021
798;U. Catolica;22;12;2021
799;A. Italiano;21;12;2021
800;Union La Calera;21;12;2021
801;D. La Serena;19;12;2021
802;Nublense;18;12;2021
803;Universidad de Chile;18;12;2021
804;Colo Colo;18;12;2021
805;Everton de Vina;17;12;2021
806;O'Higgins;17;12;2021
807;Antofagasta;16;12;2021
808;D. Melipilla;15;12;2021
809;Union Espanola;15;12;2021
810;Palestino;14;12;2021
811;Cobresal;12;12;2021
812;Huachipato;9;12;2021
813;Curico Unido;6;12;2021
814;Santiago Wanderers;1;12;2021
815;Union La Calera;24;13;2021
816;U. Catolica;22;13;2021
817;A. Italiano;21;13;2021
818;Colo Colo;21;13;2021
819;Everton de Vina;20;13;2021
820;Nublense;19;13;2021
821;Antofagasta;19;13;2021
822;Universidad de Chile;19;13;2021
823;D. La Serena;19;13;2021
824;O'Higgins;18;13;2021
825;Union Espanola;18;13;2021
826;D. Melipilla;16;13;2021
827;Palestino;14;13;2021
828;Cobresal;13;13;2021
829;Huachipato;9;13;2021
830;Curico Unido;7;13;2021
831;Santiago Wanderers;1;13;2021
832;Union La Calera;25;14;2021
833;Colo Colo;24;14;2021
834;Everton de Vina;23;14;2021
835;Universidad de Chile;22;14;2021
836;U. Catolica;22;14;2021
837;A. Italiano;21;14;2021
838;D. La Serena;20;14;2021
839;Antofagasta;20;14;2021
840;Nublense;20;14;2021
841;O'Higgins;19;14;2021
842;Union Espanola;18;14;2021
843;Palestino;17;14;2021
844;D. Melipilla;16;14;2021
845;Cobresal;13;14;2021
846;Curico Unido;10;14;2021
847;Huachipato;10;14;2021
848;Santiago Wanderers;1;14;2021
849;Union La Calera;28;15;2021
850;Colo Colo;27;15;2021
851;Universidad de Chile;25;15;2021
852;U. Catolica;25;15;2021
853;A. Italiano;24;15;2021
854;Everton de Vina;23;15;2021
855;Union Espanola;21;15;2021
856;D. La Serena;20;15;2021
857;Antofagasta;20;15;2021
858;Nublense;20;15;2021
859;O'Higgins;19;15;2021
860;Palestino;17;15;2021
861;D. Melipilla;16;15;2021
862;Cobresal;16;15;2021
863;Huachipato;13;15;2021
864;Curico Unido;10;15;2021
865;Santiago Wanderers;1;15;2021
866;Union La Calera;31;16;2021
867;Colo Colo;30;16;2021
868;A. Italiano;27;16;2021
869;U. Catolica;25;16;2021
870;Universidad de Chile;25;16;2021
871;Everton de Vina;23;16;2021
872;Antofagasta;23;16;2021
873;Union Espanola;21;16;2021
874;D. La Serena;20;16;2021
875;Nublense;20;16;2021
876;D. Melipilla;19;16;2021
877;O'Higgins;19;16;2021
878;Cobresal;19;16;2021
879;Palestino;17;16;2021
880;Huachipato;16;16;2021
881;Curico Unido;13;16;2021
882;Santiago Wanderers;1;16;2021
883;Colo Colo;33;17;2021
884;Union La Calera;31;17;2021
885;A. Italiano;28;17;2021
886;U. Catolica;28;17;2021
887;Universidad de Chile;28;17;2021
888;Everton de Vina;23;17;2021
889;Antofagasta;23;17;2021
890;Cobresal;22;17;2021
891;D. La Serena;21;17;2021
892;Nublense;21;17;2021
893;Union Espanola;21;17;2021
894;D. Melipilla;19;17;2021
895;O'Higgins;19;17;2021
896;Huachipato;19;17;2021
897;Palestino;18;17;2021
898;Curico Unido;14;17;2021
899;Santiago Wanderers;2;17;2021
900;Colo Colo;34;18;2021
901;Union La Calera;32;18;2021
902;A. Italiano;31;18;2021
903;U. Catolica;29;18;2021
904;Universidad de Chile;28;18;2021
905;Antofagasta;26;18;2021
906;Union Espanola;24;18;2021
907;Everton de Vina;23;18;2021
908;Cobresal;23;18;2021
909;Nublense;22;18;2021
910;O'Higgins;22;18;2021
911;D. La Serena;21;18;2021
912;D. Melipilla;20;18;2021
913;Huachipato;20;18;2021
914;Palestino;18;18;2021
915;Curico Unido;15;18;2021
916;Santiago Wanderers;2;18;2021
917;A. Italiano;34;19;2021
918;Colo Colo;34;19;2021
919;Union La Calera;32;19;2021
920;U. Catolica;29;19;2021
921;Universidad de Chile;29;19;2021
922;Antofagasta;27;19;2021
923;Union Espanola;27;19;2021
924;Cobresal;26;19;2021
925;Nublense;25;19;2021
926;Everton de Vina;24;19;2021
927;O'Higgins;22;19;2021
928;D. La Serena;21;19;2021
929;Palestino;21;19;2021
930;Huachipato;21;19;2021
931;D. Melipilla;20;19;2021
932;Curico Unido;18;19;2021
933;Santiago Wanderers;2;19;2021
934;Colo Colo;37;20;2021
935;A. Italiano;34;20;2021
936;U. Catolica;32;20;2021
937;Union La Calera;32;20;2021
938;Union Espanola;30;20;2021
939;Universidad de Chile;30;20;2021
940;Cobresal;29;20;2021
941;Antofagasta;28;20;2021
942;Everton de Vina;27;20;2021
943;Nublense;25;20;2021
944;O'Higgins;22;20;2021
945;D. La Serena;22;20;2021
946;Palestino;21;20;2021
947;Huachipato;21;20;2021
948;D. Melipilla;20;20;2021
949;Curico Unido;19;20;2021
950;Santiago Wanderers;5;20;2021
951;Colo Colo;40;21;2021
952;U. Catolica;35;21;2021
953;Union La Calera;35;21;2021
954;A. Italiano;34;21;2021
955;Universidad de Chile;33;21;2021
956;Union Espanola;30;21;2021
957;Cobresal;29;21;2021
958;Antofagasta;28;21;2021
959;Everton de Vina;27;21;2021
960;Nublense;26;21;2021
961;D. La Serena;25;21;2021
962;Palestino;24;21;2021
963;O'Higgins;22;21;2021
964;Huachipato;22;21;2021
965;D. Melipilla;20;21;2021
966;Curico Unido;19;21;2021
967;Santiago Wanderers;8;21;2021
968;Colo Colo;43;22;2021
969;Union La Calera;38;22;2021
970;A. Italiano;35;22;2021
971;U. Catolica;35;22;2021
972;Union Espanola;33;22;2021
973;Universidad de Chile;33;22;2021
974;Cobresal;32;22;2021
975;Everton de Vina;28;22;2021
976;Antofagasta;28;22;2021
977;Nublense;26;22;2021
978;Palestino;25;22;2021
979;D. La Serena;25;22;2021
980;Huachipato;23;22;2021
981;O'Higgins;22;22;2021
982;D. Melipilla;21;22;2021
983;Curico Unido;20;22;2021
984;Santiago Wanderers;11;22;2021
985;Colo Colo;43;23;2021
986;Union La Calera;41;23;2021
987;A. Italiano;38;23;2021
988;U. Catolica;38;23;2021
989;Union Espanola;33;23;2021
990;Universidad de Chile;33;23;2021
991;Cobresal;32;23;2021
992;Everton de Vina;31;23;2021
993;Nublense;29;23;2021
994;Antofagasta;28;23;2021
995;O'Higgins;25;23;2021
996;Palestino;25;23;2021
997;D. La Serena;25;23;2021
998;Curico Unido;23;23;2021
999;Huachipato;23;23;2021
1000;D. Melipilla;21;23;2021
1001;Santiago Wanderers;14;23;2021
1002;Colo Colo;46;24;2021
1003;A. Italiano;41;24;2021
1004;U. Catolica;41;24;2021
1005;Union La Calera;41;24;2021
1006;Union Espanola;36;24;2021
1007;Universidad de Chile;34;24;2021
1008;Cobresal;32;24;2021
1009;Everton de Vina;31;24;2021
1010;Antofagasta;29;24;2021
1011;Nublense;29;24;2021
1012;D. La Serena;28;24;2021
1013;Curico Unido;26;24;2021
1014;O'Higgins;25;24;2021
1015;Palestino;25;24;2021
1016;Huachipato;23;24;2021
1017;D. Melipilla;22;24;2021
1018;Santiago Wanderers;15;24;2021
1019;Colo Colo;49;25;2021
1020;U. Catolica;44;25;2021
1021;A. Italiano;41;25;2021
1022;Union La Calera;41;25;2021
1023;Union Espanola;36;25;2021
1024;Everton de Vina;34;25;2021
1025;Universidad de Chile;34;25;2021
1026;Antofagasta;32;25;2021
1027;Cobresal;32;25;2021
1028;D. La Serena;31;25;2021
1029;Nublense;30;25;2021
1030;O'Higgins;28;25;2021
1031;Palestino;28;25;2021
1032;Curico Unido;27;25;2021
1033;Huachipato;23;25;2021
1034;D. Melipilla;22;25;2021
1035;Santiago Wanderers;15;25;2021
1036;Colo Colo;49;26;2021
1037;U. Catolica;47;26;2021
1038;A. Italiano;44;26;2021
1039;Union La Calera;44;26;2021
1040;Union Espanola;39;26;2021
1041;Antofagasta;35;26;2021
1042;Everton de Vina;34;26;2021
1043;Universidad de Chile;34;26;2021
1044;D. La Serena;32;26;2021
1045;Cobresal;32;26;2021
1046;Nublense;30;26;2021
1047;O'Higgins;29;26;2021
1048;Palestino;29;26;2021
1049;Curico Unido;27;26;2021
1050;D. Melipilla;23;26;2021
1051;Huachipato;23;26;2021
1052;Santiago Wanderers;18;26;2021
1053;Colo Colo;52;27;2021
1054;U. Catolica;50;27;2021
1055;A. Italiano;44;27;2021
1056;Union La Calera;44;27;2021
1057;Union Espanola;42;27;2021
1058;Everton de Vina;37;27;2021
1059;Antofagasta;35;27;2021
1060;Cobresal;35;27;2021
1061;Universidad de Chile;34;27;2021
1062;Nublense;33;27;2021
1063;Palestino;32;27;2021
1064;D. La Serena;32;27;2021
1065;O'Higgins;29;27;2021
1066;Curico Unido;27;27;2021
1067;D. Melipilla;26;27;2021
1068;Huachipato;23;27;2021
1069;Santiago Wanderers;18;27;2021
1070;Colo Colo;55;28;2021
1071;U. Catolica;50;28;2021
1072;A. Italiano;45;28;2021
1073;Union La Calera;45;28;2021
1074;Union Espanola;42;28;2021
1075;Everton de Vina;38;28;2021
1076;Antofagasta;38;28;2021
1077;Cobresal;35;28;2021
1078;Nublense;34;28;2021
1079;Universidad de Chile;34;28;2021
1080;Palestino;33;28;2021
1081;D. La Serena;33;28;2021
1082;O'Higgins;32;28;2021
1083;D. Melipilla;29;28;2021
1084;Curico Unido;28;28;2021
1085;Huachipato;24;28;2021
1086;Santiago Wanderers;18;28;2021
1087;Colo Colo;55;29;2021
1088;U. Catolica;53;29;2021
1089;A. Italiano;48;29;2021
1090;Union La Calera;45;29;2021
1091;Union Espanola;45;29;2021
1092;Antofagasta;41;29;2021
1093;Everton de Vina;38;29;2021
1094;Cobresal;35;29;2021
1095;Palestino;34;29;2021
1096;Universidad de Chile;34;29;2021
1097;Nublense;34;29;2021
1098;D. La Serena;34;29;2021
1099;O'Higgins;32;29;2021
1100;D. Melipilla;32;29;2021
1101;Curico Unido;31;29;2021
1102;Huachipato;25;29;2021
1103;Santiago Wanderers;19;29;2021
1104;Colo Colo;58;30;2021
1105;U. Catolica;56;30;2021
1106;A. Italiano;51;30;2021
1107;Union La Calera;48;30;2021
1108;Union Espanola;45;30;2021
1109;Antofagasta;41;30;2021
1110;Everton de Vina;38;30;2021
1111;Nublense;37;30;2021
1112;Cobresal;35;30;2021
1113;D. Melipilla;35;30;2021
1114;O'Higgins;35;30;2021
1115;Universidad de Chile;34;30;2021
1116;Palestino;34;30;2021
1117;D. La Serena;34;30;2021
1118;Curico Unido;31;30;2021
1119;Huachipato;28;30;2021
1120;Santiago Wanderers;19;30;2021
1121;Colo Colo;61;31;2021
1122;U. Catolica;59;31;2021
1123;A. Italiano;51;31;2021
1124;Union La Calera;48;31;2021
1125;Union Espanola;45;31;2021
1126;Antofagasta;42;31;2021
1127;Everton de Vina;39;31;2021
1128;Nublense;38;31;2021
1129;Palestino;37;31;2021
1130;Cobresal;36;31;2021
1131;O'Higgins;36;31;2021
1132;D. La Serena;35;31;2021
1133;D. Melipilla;35;31;2021
1134;Universidad de Chile;34;31;2021
1135;Curico Unido;34;31;2021
1136;Huachipato;31;31;2021
1137;Santiago Wanderers;19;31;2021
1138;Colo Colo;62;32;2021
1139;U. Catolica;62;32;2021
1140;A. Italiano;52;32;2021
1141;Union La Calera;51;32;2021
1142;Union Espanola;45;32;2021
1143;Antofagasta;43;32;2021
1144;Nublense;41;32;2021
1145;Palestino;40;32;2021
1146;Everton de Vina;39;32;2021
1147;O'Higgins;37;32;2021
1148;Cobresal;36;32;2021
1149;Universidad de Chile;35;32;2021
1150;D. Melipilla;35;32;2021
1151;D. La Serena;35;32;2021
1152;Curico Unido;35;32;2021
1153;Huachipato;34;32;2021
1154;Santiago Wanderers;19;32;2021
1155;U. Catolica;65;33;2021
1156;Colo Colo;62;33;2021
1157;A. Italiano;53;33;2021
1158;Union La Calera;51;33;2021
1159;Union Espanola;48;33;2021
1160;Antofagasta;44;33;2021
1161;Nublense;41;33;2021
1162;Palestino;41;33;2021
1163;Everton de Vina;39;33;2021
1164;D. La Serena;38;33;2021
1165;D. Melipilla;38;33;2021
1166;O'Higgins;38;33;2021
1167;Cobresal;37;33;2021
1168;Universidad de Chile;36;33;2021
1169;Curico Unido;36;33;2021
1170;Huachipato;34;33;2021
1171;Santiago Wanderers;20;33;2021
1172;U. Catolica;68;34;2021
1173;Colo Colo;62;34;2021
1174;A. Italiano;54;34;2021
1175;Union La Calera;51;34;2021
1176;Union Espanola;48;34;2021
1177;Antofagasta;47;34;2021
1178;Nublense;44;34;2021
1179;Palestino;41;34;2021
1180;Cobresal;40;34;2021
1181;Universidad de Chile;39;34;2021
1182;Everton de Vina;39;34;2021
1183;D. La Serena;39;34;2021
1184;O'Higgins;38;34;2021
1185;D. Melipilla;38;34;2021
1186;Curico Unido;37;34;2021
1187;Huachipato;37;34;2021
1188;Santiago Wanderers;21;34;2021
1189;Cobresal;3;1;2022
1190;Colo Colo;3;1;2022
1191;Curico Unido;3;1;2022
1192;Nublense;3;1;2022
1193;O'Higgins;3;1;2022
1194;U. Catolica;3;1;2022
1195;Universidad de Chile;3;1;2022
1196;Palestino;1;1;2022
1197;Union Espanola;1;1;2022
1198;A. Italiano;0;1;2022
1199;Antofagasta;0;1;2022
1200;Coquimbo Unido;0;1;2022
1201;D. La Serena;0;1;2022
1202;Everton de Vina;0;1;2022
1203;Huachipato;0;1;2022
1204;Union La Calera;0;1;2022
1205;Curico Unido;6;2;2022
1206;U. Catolica;6;2;2022
1207;Universidad de Chile;6;2;2022
1208;Colo Colo;4;2;2022
1209;Nublense;4;2;2022
1210;Palestino;4;2;2022
1211;Cobresal;3;2;2022
1212;Everton de Vina;3;2;2022
1213;Huachipato;3;2;2022
1214;O'Higgins;3;2;2022
1215;D. La Serena;1;2;2022
1216;Union Espanola;1;2;2022
1217;Union La Calera;1;2;2022
1218;A. Italiano;0;2;2022
1219;Antofagasta;0;2;2022
1220;Coquimbo Unido;0;2;2022
1221;U. Catolica;9;3;2022
1222;Nublense;7;3;2022
1223;Cobresal;6;3;2022
1224;Curico Unido;6;3;2022
1225;Universidad de Chile;6;3;2022
1226;Colo Colo;5;3;2022
1227;Palestino;5;3;2022
1228;Everton de Vina;4;3;2022
1229;Huachipato;4;3;2022
1230;O'Higgins;4;3;2022
1231;D. La Serena;2;3;2022
1232;Union Espanola;2;3;2022
1233;A. Italiano;1;3;2022
1234;Antofagasta;1;3;2022
1235;Coquimbo Unido;1;3;2022
1236;Union La Calera;1;3;2022
1237;U. Catolica;9;4;2022
1238;Nublense;8;4;2022
1239;Palestino;8;4;2022
1240;Cobresal;7;4;2022
1241;Huachipato;7;4;2022
1242;O'Higgins;7;4;2022
1243;Curico Unido;6;4;2022
1244;Universidad de Chile;6;4;2022
1245;Colo Colo;5;4;2022
1246;Everton de Vina;5;4;2022
1247;Union Espanola;5;4;2022
1248;Antofagasta;4;4;2022
1249;D. La Serena;3;4;2022
1250;Coquimbo Unido;2;4;2022
1251;Union La Calera;2;4;2022
1252;A. Italiano;1;4;2022
1253;Nublense;11;5;2022
1254;Cobresal;10;5;2022
1255;Palestino;9;5;2022
1256;U. Catolica;9;5;2022
1257;Colo Colo;8;5;2022
1258;O'Higgins;8;5;2022
1259;Union Espanola;8;5;2022
1260;Curico Unido;7;5;2022
1261;Huachipato;7;5;2022
1262;Everton de Vina;6;5;2022
1263;Universidad de Chile;6;5;2022
1264;Coquimbo Unido;5;5;2022
1265;Antofagasta;4;5;2022
1266;D. La Serena;3;5;2022
1267;Union La Calera;3;5;2022
1268;A. Italiano;2;5;2022
1269;Nublense;14;6;2022
1270;Cobresal;13;6;2022
1271;Colo Colo;11;6;2022
1272;Curico Unido;10;6;2022
1273;Everton de Vina;9;6;2022
1274;Palestino;9;6;2022
1275;U. Catolica;9;6;2022
1276;Universidad de Chile;9;6;2022
1277;O'Higgins;8;6;2022
1278;Union Espanola;8;6;2022
1279;Huachipato;7;6;2022
1280;Union La Calera;6;6;2022
1281;A. Italiano;5;6;2022
1282;Coquimbo Unido;5;6;2022
1283;Antofagasta;4;6;2022
1284;D. La Serena;3;6;2022
1285;Cobresal;16;7;2022
1286;Colo Colo;14;7;2022
1287;Nublense;14;7;2022
1288;Curico Unido;11;7;2022
1289;O'Higgins;11;7;2022
1290;Union Espanola;11;7;2022
1291;Everton de Vina;10;7;2022
1292;Universidad de Chile;10;7;2022
1293;Palestino;9;7;2022
1294;U. Catolica;9;7;2022
1295;Huachipato;7;7;2022
1296;Union La Calera;7;7;2022
1297;A. Italiano;6;7;2022
1298;D. La Serena;6;7;2022
1299;Antofagasta;5;7;2022
1300;Coquimbo Unido;5;7;2022
1301;Colo Colo;17;8;2022
1302;Cobresal;16;8;2022
1303;Nublense;15;8;2022
1304;O'Higgins;14;8;2022
1305;Union Espanola;14;8;2022
1306;Everton de Vina;13;8;2022
1307;Curico Unido;12;8;2022
1308;U. Catolica;12;8;2022
1309;Huachipato;10;8;2022
1310;Palestino;10;8;2022
1311;Universidad de Chile;10;8;2022
1312;Union La Calera;7;8;2022
1313;A. Italiano;6;8;2022
1314;Antofagasta;6;8;2022
1315;D. La Serena;6;8;2022
1316;Coquimbo Unido;5;8;2022
1317;Colo Colo;17;9;2022
1318;Union Espanola;17;9;2022
1319;Cobresal;16;9;2022
1320;Nublense;16;9;2022
1321;O'Higgins;14;9;2022
1322;Curico Unido;13;9;2022
1323;Everton de Vina;13;9;2022
1324;Huachipato;13;9;2022
1325;U. Catolica;12;9;2022
1326;Palestino;11;9;2022
1327;Universidad de Chile;10;9;2022
1328;A. Italiano;9;9;2022
1329;Antofagasta;9;9;2022
1330;D. La Serena;9;9;2022
1331;Coquimbo Unido;8;9;2022
1332;Union La Calera;8;9;2022
1333;Colo Colo;20;10;2022
1334;Union Espanola;20;10;2022
1335;Nublense;19;10;2022
1336;Cobresal;16;10;2022
1337;Curico Unido;16;10;2022
1338;Huachipato;16;10;2022
1339;O'Higgins;15;10;2022
1340;Everton de Vina;13;10;2022
1341;Palestino;12;10;2022
1342;U. Catolica;12;10;2022
1343;Universidad de Chile;11;10;2022
1344;A. Italiano;10;10;2022
1345;Antofagasta;9;10;2022
1346;Coquimbo Unido;9;10;2022
1347;D. La Serena;9;10;2022
1348;Union La Calera;9;10;2022
1349;Colo Colo;21;11;2022
1350;Union Espanola;21;11;2022
1351;Curico Unido;19;11;2022
1352;Nublense;19;11;2022
1353;O'Higgins;18;11;2022
1354;Cobresal;17;11;2022
1355;Huachipato;17;11;2022
1356;Everton de Vina;14;11;2022
1357;A. Italiano;13;11;2022
1358;Palestino;13;11;2022
1359;U. Catolica;13;11;2022
1360;Coquimbo Unido;12;11;2022
1361;Universidad de Chile;11;11;2022
1362;Antofagasta;10;11;2022
1363;D. La Serena;9;11;2022
1364;Union La Calera;9;11;2022
1365;Colo Colo;24;12;2022
1366;Nublense;22;12;2022
1367;Union Espanola;22;12;2022
1368;Huachipato;20;12;2022
1369;Curico Unido;19;12;2022
1370;O'Higgins;19;12;2022
1371;Cobresal;18;12;2022
1372;Palestino;16;12;2022
1373;Everton de Vina;15;12;2022
1374;Universidad de Chile;14;12;2022
1375;A. Italiano;13;12;2022
1376;U. Catolica;13;12;2022
1377;Coquimbo Unido;12;12;2022
1378;Union La Calera;12;12;2022
1379;Antofagasta;10;12;2022
1380;D. La Serena;9;12;2022
1381;Colo Colo;27;13;2022
1382;Nublense;25;13;2022
1383;Union Espanola;25;13;2022
1384;Curico Unido;22;13;2022
1385;Cobresal;21;13;2022
1386;Huachipato;20;13;2022
1387;O'Higgins;19;13;2022
1388;Everton de Vina;18;13;2022
1389;Palestino;17;13;2022
1390;U. Catolica;16;13;2022
1391;Universidad de Chile;14;13;2022
1392;A. Italiano;13;13;2022
1393;Coquimbo Unido;12;13;2022
1394;Union La Calera;12;13;2022
1395;Antofagasta;10;13;2022
1396;D. La Serena;10;13;2022
1397;Colo Colo;28;14;2022
1398;Nublense;28;14;2022
1399;Union Espanola;28;14;2022
1400;Curico Unido;22;14;2022
1401;Cobresal;21;14;2022
1402;Huachipato;20;14;2022
1403;O'Higgins;20;14;2022
1404;Palestino;20;14;2022
1405;Everton de Vina;19;14;2022
1406;Universidad de Chile;17;14;2022
1407;A. Italiano;16;14;2022
1408;U. Catolica;16;14;2022
1409;Union La Calera;13;14;2022
1410;Coquimbo Unido;12;14;2022
1411;Antofagasta;11;14;2022
1412;D. La Serena;11;14;2022
1413;Colo Colo;29;15;2022
1414;Nublense;29;15;2022
1415;Union Espanola;29;15;2022
1416;Curico Unido;25;15;2022
1417;Cobresal;24;15;2022
1418;Huachipato;23;15;2022
1419;O'Higgins;21;15;2022
1420;Everton de Vina;20;15;2022
1421;Palestino;20;15;2022
1422;U. Catolica;19;15;2022
1423;Universidad de Chile;17;15;2022
1424;A. Italiano;16;15;2022
1425;D. La Serena;14;15;2022
1426;Union La Calera;14;15;2022
1427;Coquimbo Unido;12;15;2022
1428;Antofagasta;11;15;2022
1429;Colo Colo;30;16;2022
1430;Nublense;29;16;2022
1431;Union Espanola;29;16;2022
1432;Cobresal;27;16;2022
1433;Curico Unido;26;16;2022
1434;Huachipato;24;16;2022
1435;Palestino;23;16;2022
1436;U. Catolica;22;16;2022
1437;Everton de Vina;21;16;2022
1438;O'Higgins;21;16;2022
1439;Universidad de Chile;20;16;2022
1440;A. Italiano;19;16;2022
1441;D. La Serena;17;16;2022
1442;Union La Calera;14;16;2022
1443;Coquimbo Unido;12;16;2022
1444;Antofagasta;11;16;2022
1445;Colo Colo;33;17;2022
1446;Nublense;30;17;2022
1447;Curico Unido;29;17;2022
1448;Union Espanola;29;17;2022
1449;Cobresal;27;17;2022
1450;Palestino;26;17;2022
1451;Huachipato;25;17;2022
1452;Everton de Vina;22;17;2022
1453;U. Catolica;22;17;2022
1454;O'Higgins;21;17;2022
1455;Universidad de Chile;21;17;2022
1456;A. Italiano;20;17;2022
1457;D. La Serena;17;17;2022
1458;Union La Calera;15;17;2022
1459;Coquimbo Unido;13;17;2022
1460;Antofagasta;12;17;2022
1461;Colo Colo;36;18;2022
1462;Nublense;33;18;2022
1463;Curico Unido;32;18;2022
1464;Cobresal;30;18;2022
1465;Palestino;29;18;2022
1466;Union Espanola;29;18;2022
1467;Everton de Vina;25;18;2022
1468;Huachipato;25;18;2022
1469;O'Higgins;24;18;2022
1470;U. Catolica;22;18;2022
1471;Universidad de Chile;21;18;2022
1472;A. Italiano;20;18;2022
1473;D. La Serena;17;18;2022
1474;Antofagasta;15;18;2022
1475;Union La Calera;15;18;2022
1476;Coquimbo Unido;13;18;2022
1477;Colo Colo;36;19;2022
1478;Nublense;36;19;2022
1479;Curico Unido;32;19;2022
1480;Cobresal;30;19;2022
1481;Palestino;29;19;2022
1482;Union Espanola;29;19;2022
1483;Everton de Vina;25;19;2022
1484;Huachipato;25;19;2022
1485;O'Higgins;24;19;2022
1486;U. Catolica;22;19;2022
1487;Universidad de Chile;21;19;2022
1488;A. Italiano;20;19;2022
1489;D. La Serena;17;19;2022
1490;Antofagasta;15;19;2022
1491;Union La Calera;15;19;2022
1492;Coquimbo Unido;13;19;2022
